Agency,AwardDescription,Length,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS",350,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP B  SDVOSB SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",351,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",348,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,MARSHALL LOGISTICS SUPPORT SERVICES (MLSS),42,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP C  SBSA SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",348,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D   F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",349,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",348,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",348,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",348,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",348,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",348,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",348,,,,
NASA,"SEWP V CONTRACT,   CATEGORY B, GROUP D  F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS",347,,,,
NASA,"SEWP V CONTRACT, CATEGORY B, GROUP D   F&O SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",347,,,,
NASA,"COMPETED SINGLE AWARD BPA FOR THE OFFICE OF SAFETY AND MISSION ASSURANCE ENGINEERING SUPPORT SERVICES. PLACE OF PERF:  NASA HQ AND CONTRACTOR FACILITIES UNDER THIS BPA, EFFORTS INCLUDE BUT ARE NOT LIMITED TO THE FOLLOWING:   SUPPORTING SAFETY AND MISSION SUCCESS REVIEWS   PROVIDING SUPPORT TO THE NASA SAFETY REPORTING SYSTEM MANAGER   PROVIDING SUPPORT FOR THE OSMA BASELINE PERFORMANCE REVIEW    PROVIDING SUPPORT WITH THE DEVELOPMENT AND MAINTENANCE OF          AGENCY SMA POLICY AND REQUIREMENTS DOCUMENTATION   PREPARING AN ANNUAL REPORT THAT ASSESSES THE HEALTH,      CHALLENGES, AND CONCERNS OF THE TECHNICAL DISCIPLINES      MANAGED BY OSMA   PROVIDING ADMINISTRATIVE SUPPORT TO THE OFFICE   PROVIDING SUPPORT TO THE NASA SAFETY CENTER AS NEEDED   PROVIDING SUPPORT TO OTHER NASA INDEPENDENT TECHNICAL      AUTHORITIES AS NEEDED",837,,,,
NASA,THIS BLANKET PURCHASE AGREEMENT (BPA) IS FOR MENTOR GRAPHICS PRODUCTS AND SERVICES.,83,,,,
NASA,"THE PURPOSE OF THIS MODIFICATION IS TO:  1. EXERCISE OPTION 1 OF THE BLANKET PURCHASE AGREEMENT. THE NEW PERIOD OF PERFORMANCE IS OCTOBER 1, 2018 - SEPTEMBER 30, 2019  2. ADD TWO (2) ADDITIONAL LABOR CATEGORIES TO BETTER REFLECT THE LEVEL OF SERVICE REQUIRED",258,,,,
NASA,NASA AMES RESEARCH CENTER BPA FOR RADIUS 4-D SOFTWARE PROGRAMMING AND MAINTENANCE SERVICES.,91,,,,
NASA,"INTELLIGENT RESEARCH AND DEVELOPMENT SUPPORT-3(ISRDS-3):SCIENTIFIC RESEARCH, DEVELOPS TECHNOLOGIES, BUILDS APPLICATIONS AND INFUSES AND DEPLOYS ADVANCED INFORMATION SYSTEMS TECHNOLOGIES INTO NASA MISSIONS AND OTHER FEDERAL GOVENMENT PROJECTS.",242,,,,
NASA,"SERVICES UNDER THIS BPA ARE IN SUPPORT OF NASA'S OFFICE OF SAFETY AND MISSION ASSURANCE (OSMA).  THESE SERVICES INCLUDE SUPPORTING THE APPLICATION OF RISK MANAGEMENT, SYSTEM SAFETY, AND MISSION SUCCESS GUIDELINES AND PROCESSES TO EXPLORATION ACTIVITIES, AS WELL AS TO ACTIVITIES IN OTHER NASA PROGRAMS.",302,,,,
NASA,EARTH OBSERVATIONS FROM PRIVATE SECTOR SMALL SATELITE CONSTELLATIONS PILOT.,75,,,,
NASA,THE PURPOSE OF THIS BI-LATERAL MODIFICATION IS TO: 1. INCORPORATE BY REFERENCE FAR 52.204-25 PROHIBITION ON CONTRACTING FOR CERTAIN TELECOMMUNICATIONS AND VIDEO SURVEILLANCE SERVICES OR EQUIPMENT (AUG 2020) (SECTION 889(A)(1)(A) OF PUB. L. 115-232). 2. CHANGING THE CONTRACTING OFFICER FROM JOSEY TYNES TO LEWIS HANSEN ALL OTHER TERMS AND CONDITIONS REMAIN UNCHANGED.,367,,,,
NASA,"NASA LAUNCH SERVICES II - ORBITAL SCIENCES CORPORATION FOR NASA S PLANETARY, EARTH-OBSERVING, EXPLORATION, AND SCIENTIFIC SATELLITES. THIS IS A BILATERAL MODIFICATION TO INCORPORATE TA REVISIONS NLSII-O-030R1, NLSII-O-030R2, NLSII-O-030R3,AND NLSII-O-030R4 INTO THE CONTRACT NNK10LB01B.",286,,,,
