awarding_agency_name,award_description
DEPARTMENT OF DEFENSE (DOD),DEFENSE SCIENCES OFFICE (DSO) ACQUISITION&ADMINISTRATIVE SUPPORT
DEPARTMENT OF TRANSPORTATION (DOT),MARS MODEL FUNDING  IGF::OT::IGF
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  KINETIC KILL HARDWARE HARDWARE-IN-THE-LOOP SIMULATION HIGH SPEED WEAPON SIMULATION AND VALIDATION
DEPARTMENT OF DEFENSE (DOD),ENGINEERING AND LOGISTICS SUPPORT SERVICES FOR MOBILITY PLATFORM INTEGRATION REQUIREMENTS WITHIN THE SPECIAL WARFARE AND EXPEDITIONARY SYSTEMS DIVISION AT NSWC CRANE.
ENVIRONMENTAL PROTECTION AGENCY (EPA),"SUPPORT FOR THE METALS, MINERALS, AND ENERGY SECTOR - ETHYLENE OXIDE STERILIZATION NESHAP REVIEW   FOLLOW ON TASK ORDER TO 68HERD20A0004/68HERH20F0264"
DEPARTMENT OF THE INTERIOR (DOI),SIPI STAFFING SERVICES-PROJECT ENGINEERS
DEPARTMENT OF DEFENSE (DOD),(FY20 SEA21 OMN) USS BONHOMME RICHARD
GENERAL SERVICES ADMINISTRATION (GSA),"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MMULTIPLE AGENCY CONTRACT, IGF::OT::IGF"
DEPARTMENT OF DEFENSE (DOD),PHASE 1 BASIC
DEPARTMENT OF DEFENSE (DOD),OPTION 2 TECHNICAL SERVICES. IGF::OT::IGF
DEPARTMENT OF DEFENSE (DOD),ENGINEERING AND TECHNICAL SERVICES
SECURITIES AND EXCHANGE COMMISSION (SEC),ADMINISTRATIVE PROCEEDINGS AND COMMENT LETTER SUPPORT SERVICES FOR THE OFFICE OF THE SECRETARY (OS).
DEPARTMENT OF DEFENSE (DOD),LABOR
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"USGCRP CONTRACT IS TO ACQUIRE TECHNICAL AND ADMINISTRATIVE SUPPORT FOR THE USGCRP NATIONAL COORDINATION OFFICE (NCO)TO ASSIST THE NATION AND THE WORLD TO UNDERSTAND, ASSESS, PREDICT, AND RESPOND TO HUMAN-INDUCED AND NATURAL PROCESSES OF GLOBAL CHANGE"
DEPARTMENT OF DEFENSE (DOD),KESSEL RUN DATA SCIENCE SERVICES
DEPARTMENT OF DEFENSE (DOD),TERNARY PHYSICAL UNCLONABLE FUNCTIONS (T-PUFS)
DEPARTMENT OF DEFENSE (DOD),DSO ACQUISITION&ADMINISTRATIVE SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),PROFESSIONAL AUDIOVISUAL SYSTEMS ENGINEERING SERVICES FOR THE OFFICE OF COMPUTER&COMMUNICATIONS SYSTEMS
DEPARTMENT OF DEFENSE (DOD),"200406!002986!1700!D910B !NAVAL COMMAND CONTROL & OCEAN SU!N6523603D5859  !A!N! !Y!0075         !      !20040302!20041031!131875452!131875452!131875452!N!EAGAN, MCALLISTER ASSOCIATES, !47332 EAGAN, MCALLISTER LA!LEXINGTON PARK      !MD!20653!13330!019!45!CHARLESTON          !CHARLESTON            !S CAROLINA!+000000099976!N!N!000000000000!J058!MAINT & REPAIR OF EQ/COMMUNICATION EQUIPMENT      !S1 !SERVICES                            !000 !*                             !541330!E! !3!B!S! ! ! !99990909!B! ! !A! !A!N!U!2!003!B!  !C!N!Z! !  !N!C!N! ! ! !A!A!A!A!000!A!C!N! ! ! !Y!    !      !0001! !"
DEPARTMENT OF DEFENSE (DOD),PEO CARRIERS SUPPORT
DEPARTMENT OF HOMELAND SECURITY (DHS),ADD FUNDING
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF / COMPREHENSIVE CARE FOR JOINT REPLACEMENT (CJR) MODEL MONITORING CONTRACT
DEPARTMENT OF DEFENSE (DOD),KGV-11M DEVELOPMENT MODEL
DEPARTMENT OF COMMERCE (DOC),DAV 2.0 PHASE 2 - SCORE/SDWP SUPPORT EPMS ID#: 102262 FPOP: 2/1/2020 - 1/31/2021 POP: 2/1/2020 - 1/31/2021 CONTRACT: TBD / TO#: TBD
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-LVM-BIO.0367-18; E-085-2013-0-AU-03; GROS; PATENT LEGAL SERVICE; (BURKE) CLN 2-LVM-BIO.0407-18; E-085-2013-0-AU-11; GROS; PATENT LEGAL SERVICE; (BURKE) CLN 3-LVM-BIO.0434-18; E-085-2013-0-EP-05; GROS; PATENT LEGAL SERVICE; (BURKE)
GENERAL SERVICES ADMINISTRATION (GSA),MARITIME TASK ORDER 005 - EXTENDABLE MAST
DEPARTMENT OF DEFENSE (DOD),RESPONSIVE SPACE TECHNOLOGIES
DEPARTMENT OF DEFENSE (DOD),"RDT&E FOR INS-R, TFDS, MGUE, ACNS, SPEED SENSOR, AND NAVSUITE CERTIFICATION SUPPORT"
ENVIRONMENTAL PROTECTION AGENCY (EPA),OPERATION OF THE CLEAN AIR STATUS AND TRENDS NETWORK (CASTNET)
DEPARTMENT OF DEFENSE (DOD),PROGRAMMATIC REVIEW SERVICES FOR THE FISCAL YEAR 2020 OVARIAN CANCER RESEARCH PROGRAM FOR THE CONGRESSIONALLY DIRECTED MEDICAL RESEARCH PROGRAMS.
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF INTEGRATED INFORMATION MANAGEMENT SYSTEM (IIMS) - INTEGRATED
DEPARTMENT OF VETERANS AFFAIRS (VA),VHA HIGH RELIABILITY ORGANIZATION (HRO) BPA CALL 2: LEADERSHIP TRAINING
DEPARTMENT OF LABOR (DOL),ACQUISITION MANAGEMENT SUPPORT SERVICES
GENERAL SERVICES ADMINISTRATION (GSA),USAF NC3 A3 SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-MES.0064-17; E-249-2006/3-US-01; LEDERMAN; PATENT LEGAL SERVICE (SHMILOVICH)
DEPARTMENT OF DEFENSE (DOD),USS BOXER C4ISR INSTALL
ENVIRONMENTAL PROTECTION AGENCY (EPA),IGF::CL::IGF TECHNICAL SUPPORT FOR MISSISSIPPI RIVER HYPOXIA TASK FORCE
DEPARTMENT OF DEFENSE (DOD),ENTOMOLOGICAL RESEARCH AT WALTER REED ARMY INSTITUTE OF RESEARCH (WRAIR).
DEPARTMENT OF TRANSPORTATION (DOT),"FUNDING FOR ALL LABOR AND ODCS IN THE AMOUNT OF $300,000.00 FOR NEW TASK ORDER AWARD FOR PROGRAM EFFECTIVENESS IMPLEMENTATION PLAN"
DEPARTMENT OF DEFENSE (DOD),TATRC BA PROPOSAL  #BA180061-TRAUMA CARE IN A RUCKSACK.
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF ENERGY (DOE),"IGF:CL:IGF  U.S. DEPARTMENT OF ENERGY, NATIONAL NUCLEAR SECURITY ADMINISTRATION'S (DOE/NNSA) TECHNICAL, ENGINEERING, AND PROGRAMMATIC SUPPORT SERVICES II (TEPS II) BLANKET PURCHASE AGREEMENT (BPA) HOLDERS--RFQ 89233120QNA000116 TECHNICAL SUPPO"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-EAPD-BIO.0021-18; E-275-2011/0-US-05; TRAYNOR; PATENT LEGAL SERVICE; (GIRARDS) CLN 2-EAPD-BIO.0084-18; E-275-2011/0-US-16; TRAYNOR; PATENT LEGAL SERVICE; (GIRARDS) CLN 3-EAPD-BIO.0092-18; E-275-2011/0-US-16; TRAYNOR; PATENT LEGAL SERVICE; (GIRARDS)
DEPARTMENT OF THE INTERIOR (DOI),"DESC INFORMATION MANAGEMENT - BUSINESS PROCESS AUTOMATION SERVICES, FORMS DEVELOPMENT"
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),SAFETY MISSION ASSURANCE SUPPORT EFFORT
DEPARTMENT OF DEFENSE (DOD),ENHANCED SITUATIONAL AWARENESS BASE
DEPARTMENT OF DEFENSE (DOD),LDUUV TEST SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"JS TECHNOLOGY, INC:1172021 [21-001937]"
DEPARTMENT OF DEFENSE (DOD),DELIVERY ORDER FOR JRTC P-25 SOFTWARE UPDATE
DEPARTMENT OF COMMERCE (DOC),ENTERPRISE INITIATIVES SUPPORT AND MODERNIZATION (EISM)
DEPARTMENT OF TRANSPORTATION (DOT),PROVIDE ENGINEERING SUPPORT FOR THE REMEDIAL ENHANCEMENTS - PLUMESTOP PROJECT AT THE AA WILLIAM J. HUGHES SUPERFUND AREA OF CONCERN (AOC) E.
DEPARTMENT OF DEFENSE (DOD),SERVICES - DCGS-N INC 2
DEPARTMENT OF AGRICULTURE (USDA),PUERTO RICO TERRESTRIAL AND AIRBORNE DATA ANALYSIS CONSULTANT  SERVICES FOR FOREST SERVICE IP
SOCIAL SECURITY ADMINISTRATION (SSA),THE PURPOSE IS TO ESTABLISH A BLANKET PURCHASE AGREEMENT (BPA) TO PROVIDE ON-SITE CONTRACTOR SUPPORT FOR THE SOCIAL SECURITY ADMINISTRATION HEADQUARTERS
DEPARTMENT OF COMMERCE (DOC),CSC - MADRID PROCESSING STABILIZATION 2 (MPS2) - (E346) - CONTRACTOR SUPPORT IGF::OT::IGF
ENVIRONMENTAL PROTECTION AGENCY (EPA),ENVIRONMENTAL SERVICES ASSISTANCE TEAM (ESAT) TO AWARD FOR GIS SUPPORT
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"USPSC COUNTRY PROGRAM MANAGER, MAURITANIA, GS-14"
DEPARTMENT OF THE INTERIOR (DOI),"IBC/HRD SCHEDULING, SPECIMEN COLLECTION AND MRO"
DEPARTMENT OF DEFENSE (DOD),SERVICES IAW SOW
DEPARTMENT OF DEFENSE (DOD),IGF T-45 U.S.N. AIRCRAFT MAINTENANCE AND LOGISTICS SUPPORT (CLS)
DEPARTMENT OF THE TREASURY (TREAS),LOCAL LIAISON AND ADVISORY SERVICES IN NICARAGUA.
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF VCAT PHASE II - APPLICATION STUDY
DEPARTMENT OF DEFENSE (DOD),IGF::CT::IGF CODE 15 TOWED ARRAY HANDLING EQUIPMENT FACILITY OPERATIONS
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF THE TREASURY (TREAS),DATA AND DOCUMENT MANAGEMENT.
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-BIO.0081-15; E-153-2008/0-US-06; ISENBERG; PATENT LEGAL SERVICE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF
DEPARTMENT OF DEFENSE (DOD),"ENGINEERING AND DOCUMENTATION SUPPORT FOR THE DEVELOPMENT AND DESIGN OF SURFACE COMBATANT CONTROL SYSTEMS, INCLUDING ALL VARIANTS OF THE TORPEDO SETTING PANEL FOR THE UNDER SEA WARFARE SYSTEMS."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF KS-BIO.0344-15; E-236-2012/0-JP-07; HO; PATENT LEGAL SERVICE (LAMBERTSON)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF LVM-BIO.0314-15; E-087-2005/0-CA-05; SCHLOM; PATENT LEGAL SERVICE; (CHATTERJEE)
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT)
MILLENNIUM CHALLENGE CORPORATION (MCC),MBO CONSULTANT - MCC THRESHOLD PROGRAM PROBLEM DRIVEN ITERATIVE ADAPTATION SUPPORT DPE-EA
DEPARTMENT OF DEFENSE (DOD),SERVICES
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF  J3X
DEPARTMENT OF JUSTICE (DOJ),ADMINISTRATIVE AND PROFESSIONAL SUPPORT SERVICES
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF STAFF SUPPORT SERVICES FOR THE 160TH SIGNAL BRIGADE LOCATED IN KUWAIT, AFGHANISTAN AND QATAR. SERVICES INCLUDE ADMINISTRATIVE, OPERATIONAL AND LOGISTICS SUPPORT SERVICES TO THE 160TH SIGNAL BRIGADE AND SUBORDINATE BATTALIONS."
DEPARTMENT OF DEFENSE (DOD),ENGINEERING SERVICES
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
FEDERAL COMMUNICATIONS COMMISSION (FCC),REQUIREMENTS - FSS 70; SIN 132-51 - PRICING (ON BASE AND/OR OPTIONS) THROUGH 2017
DEPARTMENT OF DEFENSE (DOD),DEFENSE CASH ACCOUNTABILITY SYSTEM SUPPORT
DEPARTMENT OF JUSTICE (DOJ),BPA CALL AWARDED - DEA MANAGED SERVICES
DEPARTMENT OF ENERGY (DOE),FUEL CELL TECHNOLOGIES OFFICE (FCTO) MISSION ORIENTED TECHNICAL SUPPORT (MOTS) SERVICES BPA ORDER ISSUED FROM BPA NUMBER 89243419AEE000001
DEPARTMENT OF DEFENSE (DOD),"AWARDED AS A FIVE YEAR, PERFORMANCE-BASED CPFF-IDIQ CONTRACT FOR SYSTEM SIMULATION AND DEVELOPMENT DIRECTORATE MODELING SIMULATION SOFTWARE AND ANALYSIS AND TECHNOLOGY TEST AND EVALUATION CENTER DEVELOPMENT FOR ADVANCED TECHNOLOGY CONCEPTS"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),THE CONTRACTOR SHALL PROVIDE PATENT-LEGAL SERVICES DESCRIBED IN THE ATTACHED TORFQS. CLN 1-SR-BIO.0134-18; E-164-2014/0-EP-05; WU; PATENT LEGAL SERVICE; (HUBBS) CLN 2-SR-BIO.0131-18; E-164-2014/0-US-03; WU; PATENT LEGAL SERVICE; (HUBBS)
DEPARTMENT OF COMMERCE (DOC),"NOAA.GOV UPDATE CONSULTATION FOR NOAA FISHERIES, OFFICE OF THE CHIEF INFORMATION OFFICER"
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),"PMS 500 PROGRAM MANAGEMENT, BUSINESS FINANCIAL MANAGEMENT, ACQUISITION, AND LOGISTICS SUPPORT."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),SEER - CORE INFRASTRUCTURE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF
DEPARTMENT OF DEFENSE (DOD),"DATA AND APPLICATION SUPPORT TASK ORDER (DASTO) SERVICES FOR THE U.S. ARMY HUMAN RESOURCES COMMAND (HRC) FOR A BASE YEAR, 6 FEB 2020 - 5 FEB 2021 AND TWO ONE-MONTH OPTIONS."
DEPARTMENT OF DEFENSE (DOD),MIGRATED DATA VALUE UNKNOWN
DEPARTMENT OF DEFENSE (DOD),LOGISTIC AND MANAGEMENT SUPPORT SERVICES
DEPARTMENT OF TRANSPORTATION (DOT),INTREPID FUEL  ODI-INT21-1009 A
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),"DEVELOPMENT, TECHNICAL, MANAGEMENT, AND ENGINEERING SERVICES FOR INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE (ISR) SYSTEMS & INFORMATION OPERATIONS (IO) FROM SEABED TO SPACE (S2ISR)"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::OT::IGF SPANISH LANGUAGE MULTI-MEDIA AND EDUCATION CAMPAIGN FOR MEDICARE OPEN ENROLLMENT
DEPARTMENT OF COMMERCE (DOC),"LABOR-ONLY TO CONTINUES TECHNICAL SUPPORT FOR DEVELOPMENT, IMPLEMENTATION AND MAINTENANCE OF ENTERPRISE REMOTE ACCESS DOC: DOC50PAPT1400015 POP/FPOP: 4/27/20 - 3/31/2021 TO: 1333BJ19F00000007 OIEO 2747-1 - ACQ-20-0832-0001"
DEPARTMENT OF DEFENSE (DOD),TECHNOLOGY FOR SUSTAINED SUPERSONIC COMBUSTIONS (TSSC)
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),"IGF::CT::IGF THIS ""TASK ORDER"" HAS BEEN CREATED IN THE CONTRACT MANAGEMENT MODULE (CMM) SYSTEM FOR FUNDING PURPOSES ONLY AND IS NOT AN ACTUAL TASK ORDER WITH A STATEMENT OF WORK AND OTHER TASK ORDER REQUIREMENTS.  THIS ""TASK ORDER"" HAS BEEN CREATED FOR FUNDING OBLIGATIONS ONLY AND TO ACCOUNT FOR CMM AND SAP FINANCIAL SYSTEM FUNCTIONALITY.  THIS ""TASK ORDER"" IS TO FUND NNL13AA14C CLIN 3 (ENGINEERING).  CENTER MAINTENANCE, OPERATIONS, AND ENGINEERING (CMOE) CONTRACT. REQUIREMENT FOR THE MAINTENANCE, OPERATIONS, AND ENGINEERING OF LARC'S INSTITUTIONAL FACILITIES AND HIGHLY TECHNICAL RESEARCH FACILITIES FOR MISSION SUCCESS.  THE CMOE CONTRACT WILL PROVIDE CORE SUPPORT SERVICES TO LARC IN THE AREAS OF INSTITUTIONAL AND RESEARCH OPERATIONS, MAINTENANCE, AND ENGINEERING (OME).  THESE TECHNICAL SERVICES INCLUDE:  RESEARCH FACILITIES OPERATIONS (E.G., HIGHLY SPECIALIZED WIND TUNNELS, LABORATORIES, TEST STANDS, INSTRUMENTATION CALIBRATION/REPAIR); CENTRAL UTILITIES OPERATIONS (E.G., STEAM, COMPRESSED AIR, ELECTRICAL POWER DISTRIBUTION, POTABLE WATER); TECHNOLOGY DEVELOPMENT/ADMINISTRATION (E.G., FACILITY AUTOMATION SYSTEMS [FAS], DATA ACQUISITION SYSTEMS [DAS]); RESEARCH AND INSTITUTIONAL FACILITY MAINTENANCE (E.G., PREVENTIVE MAINTENANCE, TROUBLE CALLS, RELIABILITY CENTERED MAINTENANCE [RCM], FACILITY CONDITION ASSESSMENT [FCA]); AND FACILITY ENGINEERING (E.G., DESIGN, CONSTRUCTION, CONFIGURATION MANAGEMENT, TACTICAL ENGINEERING, PRESSURE SYSTEM RECERTIFICATION, PROJECT MANAGEMENT/PLANNING SUPPORT)."
DEPARTMENT OF HOMELAND SECURITY (DHS),"PA-TAC PROGRAM - SCHEDULE OF EQUIPMENT RATES UPDATE 2018, FEMA HEADQUARTERS"
DEPARTMENT OF COMMERCE (DOC),IGF::OT::IGF APPLICATIONS DEVELOPMENT
DEPARTMENT OF ENERGY (DOE),"IGF::CL::IGF  DEPARTMENT OF ENERGY, NATIONAL NUCLEAR SECURITY ADMINISTRATION OFFICE OF NONPROLIFERATION AND ARMS CONTROL (NA-24) TECHNICAL SUPPORT SERVICES IN SUPPORT OF THE COMPREHENSIVE NUCLEAR TEST BAN TREATY (CTBT)"
DEPARTMENT OF COMMERCE (DOC),IGF::OT::IGF TECHNICAL SUPPORT TO THE RECORDS MANAGEMENT DIVISION
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"SUPPORT RELIEF GROUP GENERALIST, FARO, YR 1."
DEPARTMENT OF DEFENSE (DOD),
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF DEFENSE (DOD),LOGISTICS SUPPORT SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CHARLES RIVER LABORATORIES INC:1109629 [21-000039]
GENERAL SERVICES ADMINISTRATION (GSA),USMS PRISONER GUARD AND TRANSPORTATION BPA ORDER
DEPARTMENT OF HOMELAND SECURITY (DHS),"PROVIDE ENGINEERING, DESIGN, DEPLOYMENT, CONFIGURATION, TEST AND EVALUATION OF INNOVATIVE INITIATIVE FOR THE SURVEILLANCE OBJECT DETECTION AND ANALYTICS (SODA)."
DEPARTMENT OF TRANSPORTATION (DOT),"AIRCRAFT MECHANIC SUPPORT FOR ATLANTIC CITY, NJ"
DEPARTMENT OF DEFENSE (DOD),EMERGENCY SHIP SALVAGE MAINTENANCE
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),BOARD OF SCIENTIFIC COUNSELORS - LOGISTICAL SUPPORT SERVICES FOR NIAID
DEPARTMENT OF DEFENSE (DOD),HUDSON RIVER FLOOD PLAINS
DEPARTMENT OF HOMELAND SECURITY (DHS),IGF::CT::IGF THE PURPOSE OF THIS PURCHASE REQUEST IS TO CREATE A NEW PLANNING AND EXERCISE TASK ORDER AGAINST BPA HSHQDC-13-A-00042.
DEPARTMENT OF COMMERCE (DOC),"SCIENTIFIC AND TECHNICAL SERVICES IN SUPPORT OF THE LOWER PASSAIC RIVER NATURAL RESOURCE DAMAGE ASSESSMENT FOR NOAA'S NATIONAL OCEAN SERVICE, OFFICE OF RESPONSE&RESTORATION"
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NEW PRE-PRICED TASK ORDER AWARD
ENVIRONMENTAL PROTECTION AGENCY (EPA),"SITE ASSESSMENT AND REMEDIAL ACTIVITIES, POTTER FAMILY SERVICE LUST SITE, UINTAH AND OURAY INDIAN RESERVATION, DUCHESNE, UTAH - REGION 8 (2002)"
DEPARTMENT OF DEFENSE (DOD),IGF::CT::IGF  DEPARTMENT OF DEFENSE HUMAN-RATED PAYLOAD SUPPORT TASK ORDER (DHSTO)
DEPARTMENT OF THE INTERIOR (DOI),755 DSB017 NEW TO 133
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NLM/OCCS IT TECHNICAL SUPPORT
DEPARTMENT OF COMMERCE (DOC),FY16 SECURITY AND NETWORK ENGINEERING TASK - IDEAI II - DSA GDIT TO INCLUDE A BASE YEAR PLUS TWO(2) OPTION YEARS. CONTRACT # DOC50PAPT1400015 PERIOD OF PERFORMANCE: 4/30/2016 - 4/29/2019 IGF::OT::IGF
DEPARTMENT OF DEFENSE (DOD),IGF::OT::IGF OPTICAL MATERIALS RESEARCH
DEPARTMENT OF JUSTICE (DOJ),TRANSLATION SERVICES
DEPARTMENT OF JUSTICE (DOJ),MEGA 4 - AUTOMATED LITIGATION SUPPORT
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),BUSINESS PROCESS IMPROVEMENT / STRATEGIC PLANNING SERVICES   EXECUTIVE COACHING
DEPARTMENT OF DEFENSE (DOD),"LANDING CRAFT AIR CUSHION (LCAC) AND SHIP TO SHORE CONNECTOR (SSC) CREW, SAFE ENGINEERING AND OPERATIONS (SEAOPS) PROGRAM AND FOREIGN MILITARY SALES (FMS) PROGRAM SUPPORT"
DEPARTMENT OF JUSTICE (DOJ),CLIN 0041
DEPARTMENT OF TRANSPORTATION (DOT),IGF::OT::IGF&SEED FUNDING FOR NEW TBD TECHNICAL TASK ORDER CONTRACT FOR RDHFL ENGINEERING&PROGRAMMING SUPPORT.
DEPARTMENT OF DEFENSE (DOD),AFCAP V - BASIC CONTRACT PAE-PERINI
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),EVALUATION OF PREGNANCY PREVENTION PROGRAMS
DEPARTMENT OF DEFENSE (DOD),"IGF::OT::IGF TACTICAL TEAM TRAINING SYSTEM SUPPORT.  THE CONTRACTOR SHALL PROVIDE USN AND INTERNATIONAL PROGRAMS TECHNICAL AND ENGINEERING SUPPORT IN THE SYSTEMS ENGINEERING, INTEGRATION, DEVELOPMENT, MAINTENANCE, DOCUMENTATION, AND OPERATION OF TRAINING TOOLS."
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),REPOSITORY PULL FOR OXIDATIVE STRESS AND PLACENTAL AGING
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"SUPPORT SERVICES (CONTRACT ADVISOR 3) FOR MOSB, OA, NCI"
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID),"SENIOR PROGRAM OPERATIONS SPECIALIST, HBMO, YR. 1"
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),LABOR HOUR AWARD OFFICE OF OPERATIONS (OO) OFFICE OF TALENT SOLUTIONS (OTS) - OPERATING ROADMAP SUPPORT FDA THREE-WAY-MATCHING INVOICE CLAUSE-COR: MARIA.RUNGE@FDA.HHS.GOV
DEPARTMENT OF THE INTERIOR (DOI),"SRI INTERNATIONAL, ACCS - AUTONOMOUS COMBATANT CLASSIFICATION SYSTEM"
DEPARTMENT OF DEFENSE (DOD),THE REQUIREMENT PROCURES CYBERSECURITY AND IA SERVICES.
DEPARTMENT OF DEFENSE (DOD),THE PURPOSE OF THIS ACTION IS TO AWARD A DEFINITIVE FIVE (5) YEAR RESEARCH AND DEVELOPMENT CONTRACT
DEPARTMENT OF HOMELAND SECURITY (DHS),THE PURPOSE OF THIS TASK ORDER IS FOR FEMA CENTER FOR DOMESTIC PREPAREDNESS (CDP)TO MODERNIZE ITS TRAINING ADMINISTRATION SYSTEM (CTAS) USING AZURE CLOUD SERVICES MIGRATION AND TESTING.
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),IGF::CT::IGF TTC-BIO.0156-15; E-227-2015/0-US-01; HARRIS; PATENT LEGAL SERVICE; (HASTINGS)
DEPARTMENT OF DEFENSE (DOD),"TASK ORDER 0007 IS A COST-PLUS-FIXED-FEE - TERM AND COMPLETION TYPE CONTRACT IN ACCORDANCE WITH THE TERMS AND CONDITIONS OF TECHNICAL INFORMATION ENGINEERING SERVICES (TIES) CONTRACT W56KGU-15-D-0007. ALL WORK SHALL BE PERFORMED IN ACCORDANCE WITH THE PERFORMANCE WORK STATEMENT (PWS) ENTITLED, ""OFFENSIVE ELECTRONIC WARFARE OPERATIONS (OEWO)"" TO SUPPORT THE MISSION OF THE COMMUNICATIONS ELECTRONICS RESEARCH, DEVELOPMENT AND ENGINEERING CENTER (CERDEC) THE INTELLIGENCE AND INFORMATION WARFARE DIRECTORATE (I2WD) INTEGRATED OFFENSIVE ELECTRONIC WARFARE (IOEW) BRANCH. THE PWS HAS BEEN INCORPORATED INTO SECTION C OF THIS TASK ORDER."
MILLENNIUM CHALLENGE CORPORATION (MCC),ICT4DEVELOPMENT AND DATA SCIENCE PRACTITIONER
DEPARTMENT OF DEFENSE (DOD),(FY19 PSNSY&IMF OMN) BEARING CLEANING
DEPARTMENT OF THE TREASURY (TREAS),IGF::CT::IGF SIGN LANGUAGE INTERPRETING (SLI)
DEPARTMENT OF JUSTICE (DOJ),STRATEGIC CONSULTING SERVICES
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),"CONTRACTED SERVICES TO DEVELOP AND MAINTAIN AN OPTIMAL PORTFOLIO OF STATE-OF-THE-ART, HIGH VALUE SOFTWARE APPLICATIONS. SUPPORT TO INCLUDE PROMPT RESPONSE TO SUPPORT REQUESTS, TROUBLESHOOTING SYSTEM PROBLEMS, INVESTIGATING SOFTWARE REQUESTS, INTERVIEWING AND GATHERING REQUIREMENTS, ANALYZING REQUIREMENTS, MODELING, DESIGNING SOLUTIONS, DATA ARCHITECTURE, DATA ANALYSIS, DEVELOPING AND CODING SOFTWARE, CONFIGURATION/IMPLEMENTATION AND DOCUMENTING SYSTEM CHANGE, APPLICATION DEPLOYMENT, INFORMATION MANAGEMENT, AND DISPOSITION OF SYSTEM AS APPROPRIATE."
